linie;puenktlichkeitsniveau_an;jahr;monat
RB 75 Rendsburg - Kiel;93,09;2018;7
RB 81 Bad Oldesloe - Hamburg (Hbf);88,57;2018;7
RB 82 Neumünster - Bad Oldesloe;96,57;2018;7
RB 84 Kiel - Lübeck;96,52;2018;7
RB 85 Puttgarden - Lübeck;88,96;2018;7
RB 86 Travemünde - Lübeck;88,78;2018;7
RE 1 Hamburg (Hbf) - Büchen;90,95;2018;7
RE 1 Hamburg (Hbf) - Schwerin;83,2;2018;7
RE 4 Lübeck - Bad Kleinen;98,19;2018;7
RE 6 Westerland - Hamburg-Altona;73,92;2018;7
RE 7 Flensburg - Hamburg (Hbf);80,81;2018;7
RE 70 Kiel - Hamburg (Hbf);87,53;2018;7
RE 72 Flensburg - Kiel;89,83;2018;7
RE 74 Husum - Kiel;93,45;2018;7
RE 8 Lübeck - Hamburg (Hbf);87,6;2018;7
RE 80 Lübeck - Hamburg (Hbf);87,23;2018;7
RE 83 Kiel - Lübeck;93,88;2018;7
RE 83 Lübeck - Lüneburg;89,31;2018;7
A 1 Neumünster - Eidelstedt;97,47;2018;8
A 2 Ulzburg Süd - Norderstedt;99,12;2018;8
A 3 Elmshorn - Ulzburg Süd;99,7;2018;8
RB 61 Itzehoe - Hamburg (Hbf);86,22;2018;8
RB 62 Heide - Itzehoe;81,86;2018;8
RB 63 Büsum - Neumünster;96,22;2018;8
RB 64 St.-Peter-Ording - Husum;98,94;2018;8
RB 65 Niebüll - Dagebüll;86,53;2018;8
RB 66 Esbjerg - Tønder - Niebüll;99,33;2018;8
RB 71 Wrist - Hamburg-Altona;85,26;2018;8
RB 73 Eckernförde - Kiel;94,03;2018;8
RB 75 Rendsburg - Kiel;90,56;2018;8
RB 76 Schönberger Strand - Kiel;91,52;2018;8
RB 81 Bad Oldesloe - Hamburg (Hbf);87,85;2018;8
RB 82 Neumünster - Bad Oldesloe;91,89;2018;8
RB 84 Kiel - Lübeck;94,81;2018;8
RB 85 Puttgarden - Lübeck;88,96;2018;8
RB 86 Travemünde - Lübeck;96,01;2018;8
RE 1 Hamburg (Hbf) - Büchen;91,69;2018;8
RE 1 Hamburg (Hbf) - Schwerin;85,99;2018;8
RE 4 Lübeck - Bad Kleinen;98,32;2018;8
RE 6 Westerland - Hamburg-Altona;68,25;2018;8
RE 7 Flensburg - Hamburg (Hbf);76,31;2018;8
RE 70 Kiel - Hamburg (Hbf);76,53;2018;8
RE 72 Flensburg - Kiel;89,34;2018;8
RE 74 Husum - Kiel;93,48;2018;8
RE 8 Lübeck - Hamburg (Hbf);89,55;2018;8
RE 80 Lübeck - Hamburg (Hbf);86,67;2018;8
RE 83 Kiel - Lübeck;89,87;2018;8
RE 83 Lübeck - Lüneburg;64,43;2018;8
A 1 Neumünster - Eidelstedt;97,48;2018;9
A 2 Ulzburg Süd - Norderstedt;98,37;2018;9
A 3 Elmshorn - Ulzburg Süd;98,97;2018;9
RB 61 Itzehoe - Hamburg (Hbf);82,73;2018;9
RB 62 Heide - Itzehoe;87,42;2018;9
RB 63 Büsum - Neumünster;97,47;2018;9
RB 64 St.-Peter-Ording - Husum;97,87;2018;9
RB 65 Niebüll - Dagebüll;88,54;2018;9
RB 66 Esbjerg - Tønder - Niebüll;97,49;2018;9
RB 71 Wrist - Hamburg-Altona;86,87;2018;9
RB 73 Eckernförde - Kiel;97,5;2018;9
RB 75 Rendsburg - Kiel;92,05;2018;9
RB 76 Schönberger Strand - Kiel;98,93;2018;9
RB 81 Bad Oldesloe - Hamburg (Hbf);95,88;2018;9
RB 82 Neumünster - Bad Oldesloe;95,31;2018;9
RB 84 Kiel - Lübeck;94,47;2018;9
RB 85 Puttgarden - Lübeck;91,07;2018;9
RB 86 Travemünde - Lübeck;97,85;2018;9
RE 1 Hamburg (Hbf) - Büchen;89,03;2018;9
RE 1 Hamburg (Hbf) - Schwerin;83,65;2018;9
RE 4 Lübeck - Bad Kleinen;96,07;2018;9
RE 6 Westerland - Hamburg-Altona;71,95;2018;9
RE 7 Flensburg - Hamburg (Hbf);72,35;2018;9
RE 70 Kiel - Hamburg (Hbf);75,71;2018;9
RE 72 Flensburg - Kiel;95,33;2018;9
RE 74 Husum - Kiel;91,39;2018;9
RE 8 Lübeck - Hamburg (Hbf);93,74;2018;9
RE 80 Lübeck - Hamburg (Hbf);91,65;2018;9
RE 83 Kiel - Lübeck;92,12;2018;9
RE 83 Lübeck - Lüneburg;87,8;2018;9
A 1 Neumünster - Eidelstedt;97,22;2018;10
A 2 Ulzburg Süd - Norderstedt;98,41;2018;10
A 3 Elmshorn - Ulzburg Süd;97,19;2018;10
RB 61 Itzehoe - Hamburg (Hbf);89,05;2018;10
RB 62 Heide - Itzehoe;89,25;2018;10
RB 63 Büsum - Neumünster;97,47;2018;10
RB 64 St.-Peter-Ording - Husum;98,62;2018;10
RB 65 Niebüll - Dagebüll;95,05;2018;10
RB 66 Esbjerg - Tønder - Niebüll;99,32;2018;10
RB 71 Wrist - Hamburg-Altona;87,88;2018;10
RB 73 Eckernförde - Kiel;92,88;2018;10
RB 75 Rendsburg - Kiel;92,15;2018;10
RB 81 Bad Oldesloe - Hamburg (Hbf);93,02;2018;10
RB 82 Neumünster - Bad Oldesloe;96,5;2018;10
RB 84 Kiel - Lübeck;92,87;2018;10
RB 85 Puttgarden - Lübeck;92,36;2018;10
RB 86 Travemünde - Lübeck;97,24;2018;10
RE 1 Hamburg (Hbf) - Büchen;94,55;2018;10
RE 1 Hamburg (Hbf) - Schwerin;86,6;2018;10
RE 4 Lübeck - Bad Kleinen;95,23;2018;10
RE 6 Westerland - Hamburg-Altona;74,83;2018;10
RE 7 Flensburg - Hamburg (Hbf);77,63;2018;10
RE 70 Kiel - Hamburg (Hbf);73,95;2018;10
RE 72 Flensburg - Kiel;85,93;2018;10
RE 74 Husum - Kiel;94,07;2018;10
RE 8 Lübeck - Hamburg (Hbf);90,85;2018;10
RE 80 Lübeck - Hamburg (Hbf);87,08;2018;10
RE 83 Kiel - Lübeck;87,35;2018;10
RE 83 Lübeck - Lüneburg;96,18;2018;10
A 1 Neumünster - Eidelstedt;95,76;2018;11
A 2 Ulzburg Süd - Norderstedt;97,12;2018;11
A 3 Elmshorn - Ulzburg Süd;98,87;2018;11
RB 61 Itzehoe - Hamburg (Hbf);85,9;2018;11
RB 62 Heide - Itzehoe;83,45;2018;11
RB 63 Büsum - Neumünster;96,83;2018;11
RB 64 St.-Peter-Ording - Husum;97,5;2018;11
RB 65 Niebüll - Dagebüll;90,54;2018;11
RB 66 Esbjerg - Tønder - Niebüll;99,08;2018;11
RB 71 Wrist - Hamburg-Altona;86,98;2018;11
RB 73 Eckernförde - Kiel;92,32;2018;11
RB 75 Rendsburg - Kiel;81,46;2018;11
RB 76 Schönberger Strand - Kiel;97,24;2018;11
RB 81 Bad Oldesloe - Hamburg (Hbf);93,37;2018;11
RB 82 Neumünster - Bad Oldesloe;95,21;2018;11
RB 84 Kiel - Lübeck;97,55;2018;11
RB 85 Puttgarden - Lübeck;91,7;2018;11
RB 86 Travemünde - Lübeck;98,22;2018;11
RE 1 Hamburg (Hbf) - Büchen;92,13;2018;11
RE 1 Hamburg (Hbf) - Schwerin;83,07;2018;11
RE 4 Lübeck - Bad Kleinen;97,27;2018;11
RE 6 Westerland - Hamburg-Altona;73,55;2018;11
RE 7 Flensburg - Hamburg (Hbf);73,28;2018;11
RE 70 Kiel - Hamburg (Hbf);73,68;2018;11
RE 72 Flensburg - Kiel;88,34;2018;11
RE 74 Husum - Kiel;86;2018;11
RE 8 Lübeck - Hamburg (Hbf);94,49;2018;11
RE 80 Lübeck - Hamburg (Hbf);88,17;2018;11
RE 83 Kiel - Lübeck;94,87;2018;11
RE 83 Lübeck - Lüneburg;96,92;2018;11
A 1 Neumünster - Eidelstedt;96,64;2018;12
A 2 Ulzburg Süd - Norderstedt;96,81;2018;12
A 3 Elmshorn - Ulzburg Süd;97,64;2018;12
RB 61 Itzehoe - Hamburg (Hbf);91,36;2018;12
RB 62 Heide - Itzehoe;93,3;2018;12
RB 63 Büsum - Neumünster;98,26;2018;12
RB 64 St.-Peter-Ording - Husum;99,2;2018;12
RB 65 Niebüll - Dagebüll;94,39;2018;12
RB 66 Esbjerg - Tønder - Niebüll;98,84;2018;12
RB 71 Wrist - Hamburg-Altona;90,94;2018;12
RB 73 Eckernförde - Kiel;95,96;2018;12
RB 75 Rendsburg - Kiel;93,58;2018;12
RB 76 Schönberger Strand - Kiel;98,93;2018;12
RB 81 Bad Oldesloe - Hamburg (Hbf);94,72;2018;12
RB 82 Neumünster - Bad Oldesloe;95,16;2018;12
RB 84 Kiel - Lübeck;92,43;2018;12
RB 85 Puttgarden - Lübeck;96,68;2018;12
RB 86 Travemünde - Lübeck;98,65;2018;12
RE 1 Hamburg (Hbf) - Büchen;95,48;2018;12
RE 1 Hamburg (Hbf) - Schwerin;81,69;2018;12
RE 4 Lübeck - Bad Kleinen;98;2018;12
RE 6 Westerland - Hamburg-Altona;83,64;2018;12
RE 7 Flensburg - Hamburg (Hbf);81,9;2018;12
RE 70 Kiel - Hamburg (Hbf);79,67;2018;12
RE 72 Flensburg - Kiel;94,88;2018;12
RE 74 Husum - Kiel;95,59;2018;12
RE 8 Lübeck - Hamburg (Hbf);93,02;2018;12
RE 80 Lübeck - Hamburg (Hbf);92,43;2018;12
RE 83 Kiel - Lübeck;89,19;2018;12
RE 83 Lübeck - Lüneburg;95,84;2018;12
A 1 Neumünster - Eidelstedt;96,1;2019;1
A 2 Ulzburg Süd - Norderstedt;98,45;2019;1
A 3 Elmshorn - Ulzburg Süd;99,62;2019;1
RB 61 Itzehoe - Hamburg (Hbf);90,26;2019;1
RB 62 Heide - Itzehoe;92,67;2019;1
RB 63 Büsum - Neumünster;98,83;2019;1
RB 64 St.-Peter-Ording - Husum;98,95;2019;1
RB 65 Niebüll - Dagebüll;96,39;2019;1
RB 66 Esbjerg - Tønder - Niebüll;98,74;2019;1
RB 71 Wrist - Hamburg-Altona;93,79;2019;1
RB 73 Eckernförde - Kiel;97,28;2019;1
RB 75 Rendsburg - Kiel;96,24;2019;1
RB 76 Schönberger Strand - Kiel;98,22;2019;1
RB 81 Bad Oldesloe - Hamburg (Hbf);95,23;2019;1
RB 82 Neumünster - Bad Oldesloe;96,77;2019;1
RB 84 Kiel - Lübeck;98,22;2019;1
RB 85 Puttgarden - Lübeck;95,02;2019;1
RB 86 Travemünde - Lübeck;97,96;2019;1
RE 1 Hamburg (Hbf) - Büchen;93,92;2019;1
RE 1 Hamburg (Hbf) - Schwerin;89,44;2019;1
RE 4 Lübeck - Bad Kleinen;98,77;2019;1
RE 6 Westerland - Hamburg-Altona;85,07;2019;1
RE 7 Flensburg - Hamburg (Hbf);82,98;2019;1
RE 70 Kiel - Hamburg (Hbf);82,9;2019;1
RE 72 Flensburg - Kiel;97,23;2019;1
RE 74 Husum - Kiel;96,48;2019;1
RE 8 Lübeck - Hamburg (Hbf);95,59;2019;1
RE 80 Lübeck - Hamburg (Hbf);92,64;2019;1
RE 83 Kiel - Lübeck;95,18;2019;1
RE 83 Lübeck - Lüneburg;97,06;2019;1
A 1 Neumünster - Eidelstedt;98,02;2019;2
A 1 Neumünster - Eidelstedt;98,02;2019;2
A 2 Ulzburg Süd - Norderstedt;99,5;2019;2
A 2 Ulzburg Süd - Norderstedt;99,5;2019;2
A 3 Elmshorn - Ulzburg Süd;99,55;2019;2
A 3 Elmshorn - Ulzburg Süd;99,55;2019;2
RB 61 Itzehoe - Hamburg (Hbf);89,45;2019;2
RB 61 Itzehoe - Hamburg (Hbf);89,45;2019;2
RB 62 Heide - Itzehoe;94,85;2019;2
RB 62 Heide - Itzehoe;94,85;2019;2
RB 63 Büsum - Neumünster;98,46;2019;2
RB 63 Büsum - Neumünster;98,46;2019;2
RB 64 St.-Peter-Ording - Husum;98,77;2019;2
RB 64 St.-Peter-Ording - Husum;98,77;2019;2
RB 65 Niebüll - Dagebüll;95,19;2019;2
RB 65 Niebüll - Dagebüll;95,19;2019;2
RB 66 Esbjerg - Tønder - Niebüll;98,41;2019;2
RB 66 Esbjerg - Tønder - Niebüll;98,41;2019;2
RB 71 Wrist - Hamburg-Altona;93,33;2019;2
RB 71 Wrist - Hamburg-Altona;93,33;2019;2
RB 73 Eckernförde - Kiel;96,93;2019;2
RB 73 Eckernförde - Kiel;96,93;2019;2
RB 75 Rendsburg - Kiel;96,05;2019;2
RB 75 Rendsburg - Kiel;96,05;2019;2
RB 76 Schönberger Strand - Kiel;98,23;2019;2
RB 76 Schönberger Strand - Kiel;98,23;2019;2
RB 81 Bad Oldesloe - Hamburg (Hbf);95,86;2019;2
RB 81 Bad Oldesloe - Hamburg (Hbf);95,86;2019;2
RB 82 Neumünster - Bad Oldesloe;98,61;2019;2
RB 82 Neumünster - Bad Oldesloe;98,61;2019;2
RB 84 Kiel - Lübeck;97,02;2019;2
RB 84 Kiel - Lübeck;97,02;2019;2
RB 85 Puttgarden - Lübeck;95,5;2019;2
RB 85 Puttgarden - Lübeck;95,5;2019;2
RB 86 Travemünde - Lübeck;98,33;2019;2
RB 86 Travemünde - Lübeck;98,33;2019;2
RE 1 Hamburg (Hbf) - Büchen;95,39;2019;2
RE 1 Hamburg (Hbf) - Büchen;95,39;2019;2
RE 1 Hamburg (Hbf) - Schwerin;94,17;2019;2
RE 1 Hamburg (Hbf) - Schwerin;94,17;2019;2
RE 4 Lübeck - Bad Kleinen;98,18;2019;2
RE 4 Lübeck - Bad Kleinen;98,18;2019;2
RE 6 Westerland - Hamburg-Altona;88,16;2019;2
RE 6 Westerland - Hamburg-Altona;88,16;2019;2
RE 7 Flensburg - Hamburg (Hbf);86,66;2019;2
RE 7 Flensburg/Kiel - Hamburg (Hbf);86,66;2019;2
RE 70 Kiel - Hamburg (Hbf);88,26;2019;2
RE 70 Kiel - Hamburg (Hbf);88,26;2019;2
RE 72 Flensburg - Kiel;96,38;2019;2
RE 72 Flensburg - Kiel;96,38;2019;2
RE 74 Husum - Kiel;96,89;2019;2
RE 74 Husum - Kiel;96,89;2019;2
RE 8 Lübeck - Hamburg (Hbf);94,84;2019;2
RE 8 Lübeck - Hamburg (Hbf);94,84;2019;2
RE 80 Lübeck - Hamburg (Hbf);91,76;2019;2
RE 80 Lübeck - Hamburg (Hbf);91,76;2019;2
RE 83 Kiel - Lübeck;93,36;2019;2
RE 83 Kiel - Lübeck;93,36;2019;2
RE 83 Lübeck - Lüneburg;98,19;2019;2
RE 83 Lübeck - Lüneburg;98,19;2019;2
A 1 Neumünster - Eidelstedt;96,36;2019;3
A 1 Neumünster - Eidelstedt;96,36;2019;3
A 2 Ulzburg Süd - Norderstedt;99;2019;3
A 2 Ulzburg Süd - Norderstedt;99;2019;3
A 3 Elmshorn - Ulzburg Süd;99,17;2019;3
A 3 Elmshorn - Ulzburg Süd;99,17;2019;3
RB 61 Itzehoe - Hamburg (Hbf);91,69;2019;3
RB 61 Itzehoe - Hamburg (Hbf);91,69;2019;3
RB 62 Heide - Itzehoe;95,98;2019;3
RB 62 Heide - Itzehoe;95,98;2019;3
RB 63 Büsum - Neumünster;97,04;2019;3
RB 63 Büsum - Neumünster;97,04;2019;3
RB 64 St.-Peter-Ording - Husum;99,82;2019;3
RB 64 St.-Peter-Ording - Husum;99,82;2019;3
RB 65 Niebüll - Dagebüll;94,88;2019;3
RB 65 Niebüll - Dagebüll;94,88;2019;3
RB 66 Esbjerg - Tønder - Niebüll;99,45;2019;3
RB 66 Esbjerg - Tønder - Niebüll;99,45;2019;3
RB 71 Wrist - Hamburg-Altona;93,05;2019;3
RB 71 Wrist - Hamburg-Altona;93,05;2019;3
RB 73 Eckernförde - Kiel;96,71;2019;3
RB 73 Eckernförde - Kiel;96,71;2019;3
RB 75 Rendsburg - Kiel;94,77;2019;3
RB 75 Rendsburg - Kiel;94,77;2019;3
RB 76 Schönberger Strand - Kiel;97,23;2019;3
RB 76 Schönberger Strand - Kiel;97,23;2019;3
RB 81 Bad Oldesloe - Hamburg (Hbf);93,75;2019;3
RB 81 Bad Oldesloe - Hamburg (Hbf);93,75;2019;3
RB 82 Neumünster - Bad Oldesloe;91,97;2019;3
RB 82 Neumünster - Bad Oldesloe;91,97;2019;3
RB 84 Kiel - Lübeck;93,01;2019;3
RB 84 Kiel - Lübeck;93,01;2019;3
RB 85 Puttgarden - Lübeck;93,76;2019;3
RB 85 Puttgarden - Lübeck;93,76;2019;3
RB 86 Travemünde - Lübeck;96,55;2019;3
RB 86 Travemünde - Lübeck;96,55;2019;3
RE 1 Hamburg (Hbf) - Büchen;96,33;2019;3
RE 1 Hamburg (Hbf) - Büchen;96,33;2019;3
RE 1 Hamburg (Hbf) - Schwerin;94,12;2019;3
RE 1 Hamburg (Hbf) - Schwerin;94,12;2019;3
RE 4 Lübeck - Bad Kleinen;99,64;2019;3
RE 4 Lübeck - Bad Kleinen;99,64;2019;3
RE 6 Westerland - Hamburg-Altona;88,66;2019;3
RE 6 Westerland - Hamburg-Altona;88,66;2019;3
RE 7 Flensburg - Hamburg (Hbf);83,86;2019;3
RE 7 Flensburg/Kiel - Hamburg (Hbf);83,86;2019;3
RE 70 Kiel - Hamburg (Hbf);84,99;2019;3
RE 70 Kiel - Hamburg (Hbf);84,99;2019;3
RE 72 Flensburg - Kiel;93,51;2019;3
RE 72 Flensburg - Kiel;93,51;2019;3
RE 74 Husum - Kiel;95,65;2019;3
RE 74 Husum - Kiel;95,65;2019;3
RE 8 Lübeck - Hamburg (Hbf);92,04;2019;3
RE 8 Lübeck - Hamburg (Hbf);92,04;2019;3
RE 80 Lübeck - Hamburg (Hbf);89,65;2019;3
RE 80 Lübeck - Hamburg (Hbf);89,65;2019;3
RE 83 Kiel - Lübeck;90,96;2019;3
RE 83 Kiel - Lübeck;90,96;2019;3
RE 83 Lübeck - Lüneburg;97,88;2019;3
RE 83 Lübeck - Lüneburg;97,88;2019;3
A 1 Neumünster - Eidelstedt;96,69;2019;4
A 1 Neumünster - Eidelstedt;96,69;2019;4
A 2 Ulzburg Süd - Norderstedt;98,5;2019;4
A 2 Ulzburg Süd - Norderstedt;98,5;2019;4
A 3 Elmshorn - Ulzburg Süd;98,83;2019;4
A 3 Elmshorn - Ulzburg Süd;98,83;2019;4
RB 61 Itzehoe - Hamburg (Hbf);91,93;2019;4
RB 61 Itzehoe - Hamburg (Hbf);91,93;2019;4
RB 62 Heide - Itzehoe;93,75;2019;4
RB 62 Heide - Itzehoe;93,75;2019;4
RB 63 Büsum - Neumünster;89,53;2019;4
RB 63 Büsum - Neumünster;89,53;2019;4
RB 64 St.-Peter-Ording - Husum;97,82;2019;4
RB 64 St.-Peter-Ording - Husum;97,82;2019;4
RB 65 Niebüll - Dagebüll;87,73;2019;4
RB 65 Niebüll - Dagebüll;87,73;2019;4
RB 66 Esbjerg - Tønder - Niebüll;98,55;2019;4
RB 66 Esbjerg - Tønder - Niebüll;98,55;2019;4
RB 71 Wrist - Hamburg-Altona;92,89;2019;4
RB 71 Wrist - Hamburg-Altona;92,89;2019;4
RB 73 Eckernförde - Kiel;95,23;2019;4
RB 73 Eckernförde - Kiel;95,23;2019;4
RB 75 Rendsburg - Kiel;96,44;2019;4
RB 75 Rendsburg - Kiel;96,44;2019;4
RB 76 Schönberger Strand - Kiel;98,92;2019;4
RB 76 Schönberger Strand - Kiel;98,92;2019;4
RB 81 Bad Oldesloe - Hamburg (Hbf);94,59;2019;4
RB 81 Bad Oldesloe - Hamburg (Hbf);94,59;2019;4
RB 82 Neumünster - Bad Oldesloe;94,82;2019;4
RB 82 Neumünster - Bad Oldesloe;94,82;2019;4
RB 84 Kiel - Lübeck;96,13;2019;4
RB 84 Kiel - Lübeck;96,13;2019;4
RB 85 Puttgarden - Lübeck;95,05;2019;4
RB 85 Puttgarden - Lübeck;95,05;2019;4
RB 86 Travemünde - Lübeck;98,92;2019;4
RB 86 Travemünde - Lübeck;98,92;2019;4
RE 1 Hamburg (Hbf) - Büchen;96,21;2019;4
RE 1 Hamburg (Hbf) - Büchen;96,21;2019;4
RE 1 Hamburg (Hbf) - Schwerin;93,58;2019;4
RE 1 Hamburg (Hbf) - Schwerin;93,58;2019;4
RE 4 Lübeck - Bad Kleinen;98,54;2019;4
RE 4 Lübeck - Bad Kleinen;98,54;2019;4
RE 6 Westerland - Hamburg-Altona;79,75;2019;4
RE 6 Westerland - Hamburg-Altona;79,75;2019;4
RE 7 Flensburg - Hamburg (Hbf);81,3;2019;4
RE 7 Flensburg/Kiel - Hamburg (Hbf);81,3;2019;4
RE 70 Kiel - Hamburg (Hbf);82,29;2019;4
RE 70 Kiel - Hamburg (Hbf);82,29;2019;4
RE 72 Flensburg - Kiel;77,97;2019;4
RE 72 Flensburg - Kiel;77,97;2019;4
RE 74 Husum - Kiel;97,42;2019;4
RE 74 Husum - Kiel;97,42;2019;4
RE 8 Lübeck - Hamburg (Hbf);93,29;2019;4
RE 8 Lübeck - Hamburg (Hbf);93,29;2019;4
RE 80 Lübeck - Hamburg (Hbf);90,32;2019;4
RE 80 Lübeck - Hamburg (Hbf);90,32;2019;4
RE 83 Kiel - Lübeck;92,69;2019;4
RE 83 Kiel - Lübeck;92,69;2019;4
RE 83 Lübeck - Lüneburg;96,92;2019;4
RE 83 Lübeck - Lüneburg;96,92;2019;4
RE 85 Puttgarden - Hamburg (Hbf);91,06;2019;4
RE 85 Puttgarden - Hamburg (Hbf);91,06;2019;4
A 1 Neumünster - Eidelstedt;97,19;2019;5
A 1 Neumünster - Eidelstedt;97,19;2019;5
A 2 Ulzburg Süd - Norderstedt;99,16;2019;5
A 2 Ulzburg Süd - Norderstedt;99,16;2019;5
A 3 Elmshorn - Ulzburg Süd;99,39;2019;5
A 3 Elmshorn - Ulzburg Süd;99,39;2019;5
RB 61 Itzehoe - Hamburg (Hbf);93,05;2019;5
RB 61 Itzehoe - Hamburg (Hbf);93,05;2019;5
RB 62 Heide - Itzehoe;94,72;2019;5
RB 62 Heide - Itzehoe;94,72;2019;5
RB 63 Büsum - Neumünster;97,59;2019;5
RB 63 Büsum - Neumünster;97,59;2019;5
RB 64 St.-Peter-Ording - Husum;98,71;2019;5
RB 64 St.-Peter-Ording - Husum;98,71;2019;5
RB 65 Niebüll - Dagebüll;88,26;2019;5
RB 65 Niebüll - Dagebüll;88,26;2019;5
RB 66 Esbjerg - Tønder - Niebüll;99,31;2019;5
RB 66 Esbjerg - Tønder - Niebüll;99,31;2019;5
RB 71 Wrist - Hamburg-Altona;92,79;2019;5
RB 71 Wrist - Hamburg-Altona;92,79;2019;5
RB 73 Eckernförde - Kiel;94,14;2019;5
RB 73 Eckernförde - Kiel;94,14;2019;5
RB 75 Rendsburg - Kiel;98,72;2019;5
RB 75 Rendsburg - Kiel;98,72;2019;5
RB 76 Schönberger Strand - Kiel;97,75;2019;5
RB 76 Schönberger Strand - Kiel;97,75;2019;5
RB 81 Bad Oldesloe - Hamburg (Hbf);94,52;2019;5
RB 81 Bad Oldesloe - Hamburg (Hbf);94,52;2019;5
RB 82 Neumünster - Bad Oldesloe;98,43;2019;5
RB 82 Neumünster - Bad Oldesloe;98,43;2019;5
RB 84 Kiel - Lübeck;97,97;2019;5
RB 84 Kiel - Lübeck;97,97;2019;5
RB 85 Puttgarden - Lübeck;94,56;2019;5
RB 85 Puttgarden - Lübeck;94,56;2019;5
RB 86 Travemünde - Lübeck;96,23;2019;5
RB 86 Travemünde - Lübeck;96,23;2019;5
RE 1 Hamburg (Hbf) - Büchen;90,12;2019;5
RE 1 Hamburg (Hbf) - Büchen;90,12;2019;5
RE 1 Hamburg (Hbf) - Schwerin;88,72;2019;5
RE 1 Hamburg (Hbf) - Schwerin;88,72;2019;5
RE 4 Lübeck - Bad Kleinen;98,43;2019;5
RE 4 Lübeck - Bad Kleinen;98,43;2019;5
RE 6 Westerland - Hamburg-Altona;84,06;2019;5
RE 6 Westerland - Hamburg-Altona;84,06;2019;5
RE 7 Flensburg - Hamburg (Hbf);83,46;2019;5
RE 7 Flensburg/Kiel - Hamburg (Hbf);83,46;2019;5
RE 70 Kiel - Hamburg (Hbf);85,16;2019;5
RE 70 Kiel - Hamburg (Hbf);85,16;2019;5
RE 72 Flensburg - Kiel;88,38;2019;5
RE 72 Flensburg - Kiel;88,38;2019;5
RE 74 Husum - Kiel;94;2019;5
RE 74 Husum - Kiel;94;2019;5
RE 8 Lübeck - Hamburg (Hbf);94,72;2019;5
RE 8 Lübeck - Hamburg (Hbf);94,72;2019;5
RE 80 Lübeck - Hamburg (Hbf);92,83;2019;5
RE 80 Lübeck - Hamburg (Hbf);92,83;2019;5
RE 83 Kiel - Lübeck;94,88;2019;5
RE 83 Kiel - Lübeck;94,88;2019;5
RE 83 Lübeck - Lüneburg;96,33;2019;5
RE 83 Lübeck - Lüneburg;96,33;2019;5
RE 85 Puttgarden - Hamburg (Hbf);93,22;2019;5
RE 85 Puttgarden - Hamburg (Hbf);93,22;2019;5
A 1 Neumünster - Eidelstedt;93,92;2019;6
A 1 Neumünster - Eidelstedt;93,92;2019;6
A 2 Ulzburg Süd - Norderstedt;98,36;2019;6
A 2 Ulzburg Süd - Norderstedt;98,36;2019;6
A 3 Elmshorn - Ulzburg Süd;98,88;2019;6
A 3 Elmshorn - Ulzburg Süd;98,88;2019;6
RB 61 Itzehoe - Hamburg (Hbf);88,18;2019;6
RB 61 Itzehoe - Hamburg (Hbf);88,18;2019;6
RB 62 Heide - Itzehoe;89,85;2019;6
RB 62 Heide - Itzehoe;89,85;2019;6
RB 63 Büsum - Neumünster;94,47;2019;6
RB 63 Büsum - Neumünster;94,47;2019;6
RB 64 St.-Peter-Ording - Husum;96,39;2019;6
RB 64 St.-Peter-Ording - Husum;96,39;2019;6
RB 65 Niebüll - Dagebüll;84,09;2019;6
RB 65 Niebüll - Dagebüll;84,09;2019;6
RB 66 Esbjerg - Tønder - Niebüll;99,46;2019;6
RB 66 Esbjerg - Tønder - Niebüll;99,46;2019;6
RB 71 Wrist - Hamburg-Altona;91,76;2019;6
RB 71 Wrist - Hamburg-Altona;91,76;2019;6
RB 73 Eckernförde - Kiel;91,39;2019;6
RB 73 Eckernförde - Kiel;91,39;2019;6
RB 75 Rendsburg - Kiel;94;2019;6
RB 75 Rendsburg - Kiel;94;2019;6
RB 76 Schönberger Strand - Kiel;93,42;2019;6
RB 76 Schönberger Strand - Kiel;93,42;2019;6
RB 81 Bad Oldesloe - Hamburg (Hbf);92,11;2019;6
RB 81 Bad Oldesloe - Hamburg (Hbf);92,11;2019;6
RB 82 Neumünster - Bad Oldesloe;95,18;2019;6
RB 82 Neumünster - Bad Oldesloe;95,18;2019;6
RB 84 Kiel - Lübeck;92,92;2019;6
RB 84 Kiel - Lübeck;92,92;2019;6
RB 85 Puttgarden - Lübeck;91,29;2019;6
RB 85 Puttgarden - Lübeck;91,29;2019;6
RB 86 Travemünde - Lübeck;89,15;2019;6
RB 86 Travemünde - Lübeck;89,15;2019;6
RE 1 Hamburg (Hbf) - Büchen;86,22;2019;6
RE 1 Hamburg (Hbf) - Büchen;86,22;2019;6
RE 1 Hamburg (Hbf) - Schwerin;85,4;2019;6
RE 1 Hamburg (Hbf) - Schwerin;85,4;2019;6
RE 4 Lübeck - Bad Kleinen;97,57;2019;6
RE 4 Lübeck - Bad Kleinen;97,57;2019;6
RE 6 Westerland - Hamburg-Altona;79,87;2019;6
RE 6 Westerland - Hamburg-Altona;79,87;2019;6
RE 7 Flensburg - Hamburg (Hbf);81,06;2019;6
RE 7 Flensburg/Kiel - Hamburg (Hbf);81,06;2019;6
RE 70 Kiel - Hamburg (Hbf);85,83;2019;6
RE 70 Kiel - Hamburg (Hbf);85,83;2019;6
RE 72 Flensburg - Kiel;87,89;2019;6
